elevation,temperature,speed,fuel,battery
650,339,24.8,80,80
604,331,25.2,79,81
682,278,33.0,79,82
779,328,27.3,82,84
582,278,31.1,82,82
576,298,24.6,80,77
701,244,25.3,79,80
557,290,29.5,82,83
700,251,33.3,82,80
648,246,25.5,82,77
778,282,33.0,84,78
551,291,27.9,77,79
628,268,24.9,82,80
675,251,31.8,84,80
532,307,32.5,80,82
686,258,30.0,77,80
640,294,27.9,82,77
727,346,30.8,81,83
658,300,24.9,76,84
677,323,24.9,76,80
651,276,23.0,82,77
570,234,33.2,81,82
739,330,31.7,83,80
725,309,26.6,77,77
736,307,26.6,80,80
698,333,24.2,80,79
582,275,23.9,78,81
691,244,23.5,84,80
625,336,32.4,79,84
702,271,32.7,78,81
739,307,28.0,80,84
756,340,29.8,78,78
555,258,25.0,80,77
554,331,31.0,80,78
751,323,32.4,76,83
581,301,26.4,84,79
741,322,33.5,77,80
730,283,32.5,78,78
766,328,22.5,81,80
646,282,31.2,76,79
729,285,33.3,78,84
718,238,27.8,83,78
679,277,28.4,80,78
619,317,28.4,81,84
733,316,25.8,78,82
718,311,26.6,78,84
778,250,28.1,78,79
621,280,23.4,80,81
718,265,31.9,81,80
535,277,26.4,77,82
662,269,26.1,80,77
611,250,29.9,78,80
728,255,23.3,79,79
664,323,28.0,76,83
615,321,30.5,80,83
534,311,23.1,82,84
530,272,30.7,79,77
705,342,27.7,83,84
746,312,22.7,80,81
704,343,27.9,81,80
