elevation,temperature,speed,fuel,battery
655,295,31.9,61,65
646,285,34.6,60,65
648,295,31.8,60,64
655,294,32.8,61,64
641,292,34.1,60,65
652,286,34.0,59,65
665,295,32.4,59,66
647,289,33.0,60,65
654,283,32.2,61,65
645,292,33.3,59,66
638,289,32.3,60,66
653,294,33.7,61,66
638,292,31.8,61,66
638,288,33.2,61,65
646,291,34.4,60,64
652,297,32.8,61,66
642,290,33.6,59,66
654,285,32.6,61,64
646,291,33.3,59,65
636,286,33.7,61,65
654,290,32.0,60,65
637,289,34.1,61,64
658,291,33.0,60,65
664,292,33.2,60,65
656,283,33.9,60,66
653,296,32.8,60,64
638,292,32.3,60,66
646,292,33.7,60,65
652,291,32.0,60,66
655,293,34.4,60,66
652,286,33.8,61,65
641,291,34.0,61,65
657,290,34.3,60,65
647,293,32.1,61,65
637,291,33.5,60,65
644,296,33.0,61,64
637,286,34.5,60,65
663,290,33.0,60,66
666,294,33.7,59,66
656,292,32.5,59,64
666,294,32.1,60,66
640,294,34.2,61,65
650,293,32.3,59,65
658,294,33.6,61,66
656,294,34.0,61,64
652,285,31.6,59,65
663,285,32.9,59,64
659,290,32.6,60,65
643,287,31.7,61,65
645,290,31.7,60,65
644,293,33.1,60,65
642,297,31.7,60,66
650,295,31.6,60,65
649,296,34.1,60,66
654,297,32.2,60,64
663,295,33.9,60,65
648,283,33.5,59,66
665,295,33.5,60,66
654,290,32.0,61,64
651,292,32.0,60,65
